"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"THK4MD-Q4YRT-35VS7H","OVWH7B-OZHGO-2AO4E4","ADA/USD","forex","2024-09-20 03:48:18.0316","sell","limit",0.358180,0.937568,0.002344,2.61758894,0.000000,"","L7FMAC-FF4GT-ARZIIG,LOKP62-VPKLP-AYHXQY","TKH2SE-M7IF5-CFI7LT","","","","","","","",0.937568,""
"TL7LDK-GJWBO-HH647L","O3HANG-OJEXV-2PVP7G","ETH/USD","forex","2024-09-20 03:53:02.2856","sell","limit",2500.00000,10.00000,0.02500,0.00400000,0.00000,"","L73EKP-X4PKV-HXHQXE,LJ7AUU-YI4IU-7VNGRM","TKH2SE-M7IF5-CFI7LT","","","","","","","",10.00000,""
"TJ67N6-LZOGR-WFJSWH","OFZBLY-EHVD7-DQJYGV","ETH/USD","forex","2024-09-20 04:01:07.553","sell","limit",2523.88000,15.11804,0.03780,0.00599000,0.00000,"","LOBSYS-WOVEN-BACHR6,LI2KM4-Q7C6J-XCEKQF","TKH2SE-M7IF5-CFI7LT","","","","","","","",15.11804,""
"TFA23S-QT76H-JVAUMX","OTVXCD-RD47U-WCJHK2","BTC/USD","forex","2024-09-20 04:01:35.6617","sell","limit",63807.40000,6.38074,0.01595,0.00010000,0.00000,"","L2Y6GY-QR6XY-HNYJQJ,LIGVI6-LTH4T-M3J2TQ","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.38074,""
"TJNZPO-OH7ZO-2AEF3O","ODSFVO-QB6KK-6H65LU","ADA/USD","forex","2024-09-20 04:52:10.2386","sell","limit",0.360217,28.817360,0.072043,80.00000000,0.000000,"","LJCIP3-L4LWF-XKUT6C,LIARW5-3LPPD-I5EI45","TKH2SE-M7IF5-CFI7LT","","","","","","","",28.817360,""
"TZIU7O-2E443-ZZK7LP","ON766Z-VYB23-JYRMKN","SOL/USD","forex","2024-09-20 05:42:03.3325","buy","limit",147.98000,5.91920,0.01480,0.04000000,0.00000,"","LPDI4R-H65NQ-JQ6OPA,LWIP7Z-XCSBP-SPJDX2","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.91920,""
"TB4TQE-QZSX4-BI6FMJ","OLEVOS-ECXEI-26VKYW","SOL/USD","forex","2024-09-20 06:39:01.9705","sell","limit",149.04000,5.96160,0.01490,0.04000000,0.00000,"","LC7IKU-VU2P2-CL4FLM,LOHLVT-2LTXR-EC4ZIW","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.96160,""
"TRBPTV-7O23K-KGDAQP","OW2FAC-WS6NO-NTAHIZ","BTC/USD","forex","2024-09-20 07:24:56.6666","buy","limit",63520.00000,6.35200,0.01588,0.00010000,0.00000,"","LQYJL5-WQQM7-LLQU4Q,LHGUMV-OVNWD-WDRDCZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.35200,""
"TP2C4P-DTVR3-Y6B6YV","OX3HEQ-CDHFE-SWM2OR","SOL/USD","forex","2024-09-20 07:25:22.8447","buy","limit",150.24000,6.00960,0.01502,0.04000000,0.00000,"","LSCHTB-JKB4I-6WBSXG,LVS3AA-XY2UI-EOMUZB","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.00960,""
"TIWR6B-YYFUP-MB7ESL","OCLBVF-SOON6-T7LBYR","ETH/USD","forex","2024-09-20 07:51:08.1307","sell","limit",2565.53000,5.13106,0.01283,0.00200000,0.00000,"","LSAH6U-QUSWK-OUSWON,LBNF2W-BFENN-R6DGRA","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.13106,""
